offer_type,attributes,accuracy,labels,rec_ins_dt
bogo,"['age', 'gender_F', 'reward']",0.5764854614412137,[False  True],2020-05-02 08:42:09.650816
bogo,"['age', 'gender_F', 'difficulty']",0.5632111251580278,[False  True],2020-05-02 08:42:09.903497
bogo,"['age', 'gender_F', 'duration']",0.5480404551201011,[False  True],2020-05-02 08:42:10.316093
bogo,"['age', 'gender_F', 'web']",0.5720606826801518,[False  True],2020-05-02 08:42:10.615390
bogo,"['age', 'gender_F', 'social']",0.5003160556257902,[False  True],2020-05-02 08:42:10.848523
bogo,"['age', 'gender_F', 'email']",0.4734513274336283,[False  True],2020-05-02 08:42:11.078144
bogo,"['age', 'gender_F', 'mobile']",0.5284450063211125,[False  True],2020-05-02 08:42:11.335339
bogo,"['age', 'gender_O', 'reward']",0.6554993678887484,[False  True],2020-05-02 08:42:11.559936
bogo,"['age', 'gender_O', 'difficulty']",0.6649810366624526,[False  True],2020-05-02 08:42:11.786538
bogo,"['age', 'gender_O', 'duration']",0.457016434892541,[False  True],2020-05-02 08:42:12.016650
bogo,"['age', 'gender_O', 'web']",0.5066371681415929,[False  True],2020-05-02 08:42:12.279849
bogo,"['age', 'gender_O', 'social']",0.6242098609355247,[False  True],2020-05-02 08:42:12.504947
bogo,"['age', 'gender_O', 'email']",0.6096713021491783,[False  True],2020-05-02 08:42:12.759122
bogo,"['age', 'gender_O', 'mobile']",0.6261061946902655,[False  True],2020-05-02 08:42:13.003274
bogo,"['age', 'reward', 'difficulty']",0.5907079646017699,[False  True],2020-05-02 08:42:13.233887
bogo,"['age', 'reward', 'duration']",0.5764854614412137,[False  True],2020-05-02 08:42:13.455488
bogo,"['age', 'reward', 'web']",0.6055625790139064,[False  True],2020-05-02 08:42:13.677082
bogo,"['age', 'reward', 'social']",0.6150442477876106,[False  True],2020-05-02 08:42:13.930256
bogo,"['age', 'reward', 'email']",0.5537294563843237,[False  True],2020-05-02 08:42:14.154350
bogo,"['age', 'reward', 'mobile']",0.5344500632111252,[False  True],2020-05-02 08:42:14.401011
bogo,"['age', 'difficulty', 'duration']",0.5322376738305942,[False  True],2020-05-02 08:42:14.647682
bogo,"['age', 'difficulty', 'web']",0.6065107458912768,[False  True],2020-05-02 08:42:14.887330
bogo,"['age', 'difficulty', 'social']",0.5578381795195955,[False  True],2020-05-02 08:42:15.189642
bogo,"['age', 'difficulty', 'email']",0.6554993678887484,[False  True],2020-05-02 08:42:15.489941
bogo,"['age', 'difficulty', 'mobile']",0.5717446270543616,[False  True],2020-05-02 08:42:15.811796
bogo,"['age', 'duration', 'web']",0.5679519595448799,[False  True],2020-05-02 08:42:16.087028
bogo,"['age', 'duration', 'social']",0.515802781289507,[False  True],2020-05-02 08:42:16.334184
bogo,"['age', 'duration', 'email']",0.5037926675094817,[False  True],2020-05-02 08:42:16.581341
bogo,"['age', 'duration', 'mobile']",0.5,[False  True],2020-05-02 08:42:16.823485
bogo,"['age', 'web', 'social']",0.5145385587863464,[False  True],2020-05-02 08:42:17.085682
bogo,"['age', 'web', 'email']",0.5493046776232617,[False  True],2020-05-02 08:42:17.351888
bogo,"['age', 'web', 'mobile']",0.5540455120101138,[False  True],2020-05-02 08:42:17.606574
bogo,"['age', 'social', 'email']",0.6166245259165614,[False  True],2020-05-02 08:42:17.839699
bogo,"['age', 'social', 'mobile']",0.6084070796460177,[False  True],2020-05-02 08:42:18.147047
bogo,"['age', 'email', 'mobile']",0.6305309734513275,[False  True],2020-05-02 08:42:18.410756
bogo,"['income', 'tenure_years', 'gender_M']",0.4974715549936789,[False  True],2020-05-02 08:42:18.740633
bogo,"['income', 'tenure_years', 'gender_F']",0.5309734513274337,[False  True],2020-05-02 08:42:19.045442
